Node1	Sign	Node2
AKT1	-1	GATA2
APAF1	 1	CASP6
BCL2L1	-1	APAF1
CASP6	 1	TFAP2A
CD247	 1	IL2RG
CDK2	-1	SIRT2
CDK2	-1	TP63
CHUK	-1	FOXA2
E2F1	-1	SPI1
EBF1	 1	ZNF423
GATA2	 1	SPI1
GNAI3	-1	CD247
IL2RG	 1	MAPK11
IL2RG	 1	STAT3
IL2RG	 1	STAT6
MAPK11	 1	ATF2
MAPK11	 1	ESR1
MAPK11	 1	USF1
MYC	-1	PIAS2
PIAS2	 1	EGR2
PRKAA1	-1	HNF4A
RELA	-1	EBF1
SPI1	 1	GATA1
STAT6	 1	GATA3
TFAP2A	 1	TFAP2C
TFDP1	-1	SPI1
TP53	-1	FOXA1
ADRB1	 1	GNAI3
AKT1	 1	APPL1
AKT1	 1	BCL2L1
AKT1	 1	CDK2
AKT1	 1	CHUK
AKT1	 1	YBX1
APPL1	 1	STK11
CDK2	 1	E2F1
CDK2	 1	FOXM1
CDK2	 1	RUNX1
CDK2	 1	TFDP1
CDK2	 1	TP53
CHUK	 1	MYC
CHUK	 1	RELA
E2F1	 1	E2F4
EGR2	-1	PBX1
GNAI3	 1	AKT1
GNAI3	 1	RAPGEF3
KAT2B	 1	MYC
KAT2B	 1	TP53
KAT2B	 1	YY1
MAPK10	 1	ELK1
MAPK10	 1	FOSL2
MAPK10	 1	TP53
MAPK11	-1	AKT1
MYC	 1	TP53
PRKAA1	 1	TP53
RAPGEF3	 1	MAPK10
RELA	 1	FOS
RELA	 1	MYC
RUNX1	 1	ETS1
SIRT2	-1	KAT2B
STK11	 1	PRKAA1
STK11	 1	TP53
TFDP1	 1	E2F1
TFDP1	 1	E2F6
TFDP1	 1	E2F7
YY1	 1	E2F7
YY1	 1	MYC
YY1	 1	TP53
